gene_id,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep1,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep2,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep3,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep2,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep3,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep1,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep2,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep3
ENSMUSG00000000001,1078,1065,1103,1286,1086,1194,1075,1084,1115
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,66,58,70,185,181,191,266,210,231
ENSMUSG00000000031,20,14,23,26,22,42,34,20,33
ENSMUSG00000000037,15,6,9,27,21,24,19,22,20
ENSMUSG00000000049,1,7,3,7,4,8,3,2,4
ENSMUSG00000000056,516,676,500,819,678,580,894,703,676
ENSMUSG00000000058,35,24,20,39,36,23,21,28,19
ENSMUSG00000000078,592,571,471,743,684,521,672,631,589
ENSMUSG00000000085,361,413,404,543,461,457,508,390,453
ENSMUSG00000000088,155,177,197,238,203.96,191,325,281,272.97
ENSMUSG00000000093,16,13,14,10,13,11,18,15,7
ENSMUSG00000000094,0,0,0,1,0,1,0,0,1
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,17,16,31,25,31,24,18,13,20
ENSMUSG00000000125,1,2,2,2,4,1,2,0,2
ENSMUSG00000000126,17,14,17,16,16,11,14,13,15
ENSMUSG00000000127,107,63,88,77,78,66,52,50,37
ENSMUSG00000000131,1405,1455,1357,1726,1648,1458,1569,1461,1670
ENSMUSG00000000134,237,198,219,221,236,213,208,154,173
ENSMUSG00000000142,314,299,267,386,356,277,383,291,306
ENSMUSG00000000148,254,313,259,341,266,269,324,273,321
ENSMUSG00000000149,382,380,369,389,441,340,354,317,386
ENSMUSG00000000154,1,7,6,4,10,8,0,6,0
ENSMUSG00000000157,0,0,3,1,4,1,2,0,0
ENSMUSG00000000159,0,1,0,1.76,0,1.8,0,0,0
ENSMUSG00000000167,8,8,19,19,9,10,15,7,5
ENSMUSG00000000168,233,218,241,341,266,271,324,303,354
ENSMUSG00000000171,196,198,235,312,278,279,319,306,287
ENSMUSG00000000182,1,0,2,2,2,1,1,0,1
ENSMUSG00000000183,3,0,1,0,0,2,1,0,0
ENSMUSG00000000184,2080,1643,1542,1744,2139,1422,1310,1082,1248
ENSMUSG00000000194,689,715,689,727,732,685,636,625,706
ENSMUSG00000000197,4,2,2,6,6,1,1,2,1
ENSMUSG00000000202,0,0,0,0,1,0,1,0,0
ENSMUSG00000000204,24.83,10.38,7.19,13.98,9.36,3.08,22.56,5.25,7.35
ENSMUSG00000000214,0,0,1,1,7,0,0,1,1
ENSMUSG00000000215,0,1,0,0,3,1,1,0,0
ENSMUSG00000000216,33,30,69,39,21,22,18,13,15
ENSMUSG00000000223,6,3,8,10,15,11,10,8,16
ENSMUSG00000000244,792,861,844,818,880,807,696,596,661
ENSMUSG00000000247,1,4,1,7,7,5,8,6,7
ENSMUSG00000000248,4.06,3.03,5.08,2.02,3.02,2.02,1.01,2,1
ENSMUSG00000000253,124,113,191,146,138,136,116,87,122
ENSMUSG00000000263,1,0,0,0,0,1,0,0,0
ENSMUSG00000000266,153,121,133,117,131,83,66,89,67
ENSMUSG00000000275,1542,1025,1051,1066,1102,922,1044,978,983
ENSMUSG00000000276,1651,1946,1714,2885,2393,2326,2534,2539,2553
ENSMUSG00000000278,96,75,75,81,92,62,62,61,66
ENSMUSG00000000282,298,322,328,304,372,289,399,287,307
ENSMUSG00000000290,2088,2233,2078.22,2129.37,2324,2026.41,1812,1463,1577
ENSMUSG00000000295,50,59,84,80,54,66,64,71,59
ENSMUSG00000000296,5,8,10,1,4,7,8,5,3
ENSMUSG00000000301,5,9,8,12,9,7,13,11,6
ENSMUSG00000000303,656,546,599,541,720,467,363,337,467
ENSMUSG00000000305,343,292,345,306,278,247,247,216,210
ENSMUSG00000000308,49,34,29,31,54,25,23,8,24
ENSMUSG00000000317,8,2,7,6,6,2,4,5,3
ENSMUSG00000000318,44.15,24.89,42.67,28.11,24.78,15.52,17.83,20.33,13.32
ENSMUSG00000000320,5,4,2,3,4,3,4,1,3
ENSMUSG00000000325,169,203,183,282,198,209,334,300,249
ENSMUSG00000000326,292,277,362,300,333,315,208,221,243
ENSMUSG00000000339,113,115,105,159,121,115,144,110,129
ENSMUSG00000000340,216,212,216,237,206,187,210,164,180
ENSMUSG00000000346,911,865,887,1074,1026,968,932,812,742
ENSMUSG00000000355,160,152,183,180,161,176,154,143,127
ENSMUSG00000000359,17,9,17,9,15,11,15,12,16
ENSMUSG00000000365,4,2,1,10,2,5,2,5,1
ENSMUSG00000000374,840,838,765,932,965,833,866,735,957
ENSMUSG00000000378,1112,1125,1135,1293,1182,1163,1297,1164,1291
ENSMUSG00000000381,0,0,0,0,1,1,0,1,0
ENSMUSG00000000384,234.7,231.7,220.54,320.84,298.65,286.7,356.24,275.59,351.92
ENSMUSG00000000385,43,51,47,35,46,28,17,31,14
ENSMUSG00000000386,182.04,70.67,90.28,69.97,86.68,49.21,37,36.07,56.61
ENSMUSG00000000392,31,22,30,23,28,15,15,25,11
ENSMUSG00000000394,1,2,5,3,5,2,1,4,0
ENSMUSG00000000399,184,194,218,291,220,226,315,299,238
ENSMUSG00000000402,0,0,0,0,1,0,1,0,0
ENSMUSG00000000409,6600,7478,6322,8855,7740,7364,8761,7498,7593
ENSMUSG00000000411,1,1,1,2,0,1,0,0,0
ENSMUSG00000000416,16,11,4,9,15,4,9,10,4
ENSMUSG00000000420,976,1031,956,1226,1122,1033,1085,1098,1081
ENSMUSG00000000435,0,0,0,0,2,0,0,0,0
ENSMUSG00000000439,291,311,318,364,347,330,327,314,319
ENSMUSG00000000440,41,47,49,73,61,51,34,31,28
ENSMUSG00000000441,1111,1212,1081,1418,1288,1184,1346,1256,1216
ENSMUSG00000000486,1626,1867,1746,2117,1986,1829,2150,1674,1906
ENSMUSG00000000489,48,54,31,58,64,30,41,35,43
ENSMUSG00000000530,117,107,120,125,139,84,110,94,114
ENSMUSG00000000531,36,27,29,49,40,29,54,46,39
ENSMUSG00000000532,275,287,283,310,332,221,288,253,284
ENSMUSG00000000538,641,652,676,658,614,619,579,468,640
ENSMUSG00000000544,21,17,13,14,25,8,10,11,10
ENSMUSG00000000552,119,134,103,130,138,80,148,78,81
ENSMUSG00000000555,184,204,192,245,218,184,212,187,193
ENSMUSG00000000560,0,1,2,0,1,1,0,0,1
ENSMUSG00000000561,210.03,252.48,229.18,271.74,256.05,237.54,266.14,271.81,366.51
ENSMUSG00000000562,3.59,4,4,6.54,3,1.33,3,3.76,8
ENSMUSG00000000563,692,643.01,690.62,929,784.54,776,1013.53,854.11,742
ENSMUSG00000000567,149,125,136,130,127,108,86,76,75
